# https://wiki.pcsx2.net/Complete_List_of_Games + https://wiki.pcsx2.net/Complete_List_of_Demos_and_Tool_Discs
# Title;ID
!Que Pasa Neng!;SLES-54604
.hack//Fragment;SLPS-25527
After... Wasureemu Kizuna;SLPM-65482, SLPM-65481 (Limited Edition)
Agassi Tennis Generation;SLUS-20446 SLES-52125
Age of Empires II: The Age of Kings;SLES-50282 SLPM-62076, VW043-J1
Agent Collection;
Agent Hugo;SLES-53504, SLES-53910
Agent Hugo: Hula Holiday;SLES-55364 (Scandinavia), SLES-55365, SLES-55366 (Russia)
Agent Hugo: Lemoon Twist;SLES-54917, SLES-54918, SLES-54919
Agent Hugo: Roborumble;SLES-54212
Aggressive Inline;SLUS-20327, SLUS-29021 (Demo) SLES-50480
AI Igo 2003;SLPM-62329
AI Mahjong 2003;SLPM-62330
AI Shogi 2003;SLPM-62323
Ai Yori Aoshi;SLPS-25225, SLPS-25224 (First Print Limited Edition), SLPM-66015 (SuperLite 2000)
Aikagi;SLPS-25274, SLPM-65922 (Best Version)
Air;SLPS-25127, SLPM-65844, SLPM-66982 (Best Version)
Air Raid 3;SLES-53772
Air Ranger 2 Plus: Rescue Helicopter;SLPM-65409
Air Ranger 2: Rescue Helicopter;SLPS-25098, SLPM-65325 (Reprint), SLKA-25052 (Korea)
Air Ranger: Rescue Helicopter;SLES-50953 SLPS-20083, SLPS-20216 (Reprint)
AirBlade;SLUS-20346, SLUS-29017 (Demo) SCES-50246
Airborne Troops: Countdown to D-Day;SLUS-21125 SLES-52939
AirForce Delta Strike;SLUS-20703 SLES-52284 SLKA-25133 (Korea), SLPM-65486, VW161-J1, SLPM-65722 (Konami the Best), VW161-J2 (Konami the Best)
Akai Ito;SLPM-65732, SLPM-66136 (SuperLite 2000 Adventure), NPJD-00049 (PS2 Classics)
Akane Iro ni Somaru Saka: Parallel;SLPM-55006, GN-08023 (Limited Edition)
Akira Psycho Ball;SLES-50919 SLPS-20150
Akudaikan;SLPM-65151, SLPM-65339 (Global the Best)
Akudaikan 2: Mousouden;SLPM-65330, SLPM-65620 (Global the Best)
Akudaikan 3;SLPM-66653, SLPM-55145 (Global the Best)
Alan Hansen's Sports Challenge;SLES-54958
Alarm for Cobra 11;SLES-52063
Alarm for Cobra 11: Hot Pursuit;SLES-52920, SLES-53360
Alex Ferguson's Player Manager 2001;SLES-50429, SLES-50558, SLES-50559
Alfa Romeo Racing Italiano;SLUS-21321, NPUD-21321 (PS2 Classics) SLES-53320
Alias;SLUS-20673 SLES-51821, SLES-51822, SLED-52485 (Demo)
Alien Hominid;SLUS-21090 SLES-53139
Aliens in the Attic; SLES-55532
Aliens Versus Predator: Extinction;SLUS-20147 SLES-51792 SLKA-15020
All Star Pro-Wrestling;SLPS-20022
All Star Pro-Wrestling II;SLPS-20139
All Star Pro-Wrestling III;SLPM-65300
All-Star Baseball 2002;SLUS-20008 SLES-50218 SLPM-62069, TCPS-90014
All-Star Baseball 2003;SLUS-20311, SLUS-28007 (Trade Demo) SLES-50447 SLPM-65137
All-Star Baseball 2004;SLUS-20569 SLES-51602 SLKA-25057
All-Star Baseball 2005;SLUS-20838
Alone in the Dark;SLUS-21690 SLES-55207, SLES-54884, SLES-54883
Alone in the Dark: The New Nightmare;SLES-50185 SLPM-65085
Alpine Racer 3;SCES-50887 SLPS-20181, SCPS-51006, SCPS-56010
Alpine Ski Racing 2007;SLES-54370, SLES-54560
Alpine Skiing 2005;SLES-53041, SLES-53362
Alter Echo;SLUS-20465, NPUD-20465, SLUS-29056 (Demo) SLES-51671, SLES-51670
Alvin and the Chipmunks;SLUS-21706 SLES-55052
Amagami;SLPS-25918, SLPS-25989 (EBKore+ Limited Edition), SLPS-25987 (EBKore+)
Amagoushi no Yakata;SLPS-25702, SLPS-25847 (The Best Price)
Ambition of Giren - Zeon Independence War + Direction Book of Capture;SLPS-25489 (Gundam the Best, Disc 1), SLPS-25490 (Gundam the Best, Disc 2)
America Oudan Ultra-Quiz;SLPS-25106, SLPS-25229 (DigiCube Best Selection)
American Arcade;SLES-51555 SLPS-20011
American Chopper;SLUS-21069 SCES-53108, SLES-53108
American Chopper 2: Full Throttle;SLUS-21288 SLES-53779
American Idol;SLUS-20816 SLES-51825, SLES-51846
American Pool II;
AMF Xtreme Bowling;SLUS-21347 SLES-54365
Amplitude;SCUS-97258, SCUS-97262 (Demo), SCUS-97292 (Demo), SCUS-97869 (Demo) SCES-51706
An American Tail;SLES-54626
And 1 Streetball;SLUS-21237, SLUS-21237B (w/Bonus Disc) SLES-54016
Angel Profile;SLPM-66709, SLPM-55085 (Best Hit Selection)
Angel Wish: Kimi no Egao ni Chu!;SLPM-65828, SLPM-65827 (Special Pack), PIO-05202 (Special Pack)
Angel's Feather;SLPM-65513, SLPM-65512 (Limited Edition)
Angel's Feather: Kuro no Zanei;SLPM-65943, GN-05009 (Limited Edition)
Angelic Concert;SLPM-65239, SLPM-65238 (Special Box)
Angelique Etoile;SLPM-65715, SLPM-65714 (Premium Box), KOEI-00020 (Premium Box), SLPM-66524 (Koei the Best), SLPM-66938 (Koei Teiban Series)
Angelique Trois;SLPM-62022, SLPM-62021 (Premium Box)
Angelique Trois: Aizouhen;SLPM-65044, SLPM-65037 (Limited Edition), SLPM-65159 (Naho Edition), SLPM-65541 (Koei the Best), SLPM-66006 (Koei Teiban Series)
Animal Soccer World;SLES-52371
Animaniacs: The Great Edgar Hunt;SLES-52729
Anime Eikaiwa: 15 Shounen Hyouryuuhen;SLPM-65027
Anime Eikaiwa: Tondemo Nezumi Daikatsuyaku;SLPM-65029
Anime Eikaiwa: Totoi;SLPM-65028
Antz Extreme Racing;SLUS-20392 SLES-50964
Anubis II;SLES-53571
Aoi no Mamade...;SLPM-65736, SLPM-65735 (Treasure Box)
Aoi Sora no Neosphere: Nanoca Flanka Hatsumei Koubouki 2;SLPS-25749, SLPS-25748 (Limited Edition)
Aoi Umi no Tristia: Nanoca Flanka Hatsumei Koubouki;SLPS-25514, SLPS-25513 (Limited Edition), SLPS-25700 (The Best Price)
Aoishiro;SLPM-66959, SLPM-66958 (Limited Edition), SLPM-55165 (SuperLite 2000 Adventure)
Ape Escape 2;SLUS-20685 SCES-51104, SCES-50885, SCES-51102, SCES-51103, SCES-51105, SCED-51366 (Demo) SCPS-15025, SCPS-19206 (PlayStation 2 the Best), SCPS-55035, SCPS-19308 (PlayStation 2 The Best), SCPS-19152 (PlayStation 2 The Best), SCCS-40001, PAPX-90330 (Trial)
Ape Escape 3;SCUS-97501, SCUS-97548 (Demo) SCES-53642 SCAJ-20138, SCPS-15096, SCPS-19311 (PlayStation 2 the Best), SCKA-20062, SCPS-19327 (PlayStation 2 the Best Reprint), SCAJ-20195 (PlayStation 2 the Best), NPJC-00012, SCAJ-20144
Ape Escape: Million Monkeys;SCAJ-20178, SCPS-19325 (PlayStation 2 the Best), SCPS-15115, PCPX-98041 (Trial)
Ape Escape: Pumped & Primed;SLUS-21096 SCPS-15072, SCAJ-20090, SCAJ-30005, SCCS-40016
Apocripha/0;SLPM-65710, GN-04005 (Limited Edition)
Appleseed EX;SLPM-66551, HSN-0010 (Limited Box)
Aqua Aqua;SLUS-20162 SLES-50053 SLPS-20027
Aqua Kids;SLPM-65670, SLKA-25161 (Korea)
Aqua Teen Hunger Force Zombie Ninja Pro-Am;SLUS-21633 SLES-54788
Ar tonelico II: Melody of Metafalica;SLUS-21788P, SLUS-21788 SLES-55444 SLPS-25819, SLPS-73263 (PlayStation 2 the Best)
Ar tonelico: Melody of Elemia;SLUS-21445, SLUS-21445P (Limited Edition) SLES-54586 SLPS-25604, SLPS-73249 (PlayStation 2 the Best)
Arabians Lost;SLPM-66847
Arc the Lad: End of Darkness;SLUS-21165 SCPS-15058, SCAJ-20108
Arc the Lad: Twilight of the Spirits;SCUS-97231, SCUS-97282 (Demo) SCES-51910 SCPS-15041, SCPS-15040 (Premium Box), SCKA-20012 (Korea), NPJC-00010 (PS2 Classics), SCAJ-20019, SCAJ-20038, SCCS-40007, PAPX-90230 (Premium Disc demo), PCPX-96330 (Premium Disc demo)
Arcade Action: 30 Games;SLES-52949
Arcade Classics Volume 1;SLES-52902
Arcade USA;SLES-53446
Arcana Heart;SLUS-21720 SLPM-66850, SLPM-55106 (AQ the Best)
Arcobaleno!;SLPM-55169, SLPM-55168 (Limited Edition)
Arctic Thunder;SLUS-20217, SLUS-29007 (Demo) SLES-50274
Are You Smarter Than a 5th Grader? Make the Grade;SLUS-21755
Area 51;SLUS-20595 SLES-52570, SLES-53075 SLPM-66468
Arena Football;SLUS-21337
Arena Football: Road to Glory;SLUS-21568
Aria: The Natural ~Tooi Yume no Mirage~;SLPM-66536, ALCH-00008 (Limited Edition), SLPM-66967 (Alchemist Best Collection)
Aria: The Origination ~Aoi Hoshi no El Cielo~;SLPM-55014, ALCH-00014 (Limited Edition), SLPM-55204 (Alchemist Best Collection)
Armen Noir;SLPM-55282, ARP2-01201 (Limited Edition)
Armored Core 2;SLUS-20014 SLES-50079 SLPS-25007, SLPS-73403 (PlayStation 2 the Best)
Armored Core 2: Another Age;SLUS-20249 SLES-50905 SLPS-25040, SLPS-73411 (PlayStation 2 the Best), SCPS-55024, SCCS-40011
Armored Core 3;SLUS-20435 SLES-51399 SLPS-25112, SLPS-73417 (PlayStation 2 the Best), SCPS-55014, SLPM-67524
Armored Core Machine Side Box;SLPS-25730, SLPS-25731, SLPS-25732
Armored Core: Formula Front;SLPS-25461, SLKA-25270 (Korea), SCAJ-20121
Armored Core: Last Raven;SLUS-21338 SLES-53820 SLPS-25462, SLPM-68520 (Monthly Champion magazine Special Edition), SLPS-73247 (PlayStation 2 the Best), SCAJ-20143, SLPM-61119 (Trial), SLPM-61118 (Famitsu Special Trial Version)
Armored Core: Nexus;SLUS-20986 (Evolution Disc), SLUS-21079 (Revolution Disc) SLES-82036 (Disc 1), SLES-82037 (Disc 2) SLPS-25338 (Disc 1), SLPS-25339 (Disc 2), SLKA-25201 (Korea, Evolution Disc), SLKA-25202 (Korea, Revolution Disc), SLPS-73202 (PlayStation 2 the Best, Disc 1), SLPS-73203 (PlayStation 2 the Best, Disc 2), SCAJ-20076 (Disc 1), SCAJ-20077 (Disc 2)
